ID,stylo_filename,decade,title,author,gnd,forename,surename,birth_year,death_year,gender,filename,pubyear,genre,text_length,sorted_nationality,sources,timeslot,city,corpus
84,Bettauer_Faustrecht_gutenberg.txt,1890.0,Faustrecht,Hugo Bettauer,http://d-nb.info/gnd/11851038X,Hugo,Bettauer,1872,1925,männlich,Bettauer_Faustrecht_gutenberg.txt,1920.0,Roman,47145,Österreich,https://www.projekt-gutenberg.org/bettauer/faustrec/faustrec.html,1860-1879,vienna,sunset
85,Bettauer_Hemmungslos.txt,1920.0,Hemmungslos,Hugo Bettauer,http://d-nb.info/gnd/11851038X,Hugo,Bettauer,1872,1925,männlich,Bettauer_Hemmungslos.txt,1920.0,Roman,39031,Österreich,https://www.projekt-gutenberg.org/bettauer/hemmungs/hemmungs.html,1860-1879,vienna,sunset
86,Boy-Ed_DieOpferschale_gutenberg.txt,1870.0,Die Opferschale,Ida Boy-Ed,http://d-nb.info/gnd/118662473,Ida,Boy-Ed,1852,1928,weiblich,Boy-Ed_DieOpferschale_gutenberg.txt,1916.0,Roman,95637,Deutschland,https://www.projekt-gutenberg.org/boy-ed/opfersch/opfersch.html,1840-1859,berlin,sunset
87,David_DieHanna_gutenberg.txt,1870.0,Die Hanna,Jakob Julius David,http://d-nb.info/gnd/118671103,Jakob Julius David,No surename,1859,1906,männlich,David_DieHanna_gutenberg.txt,1904.0,Novelle,95812,Deutschland; Österreich,https://www.projekt-gutenberg.org/david/hanna1/hanna1.html,1840-1859,vienna,sunset
88,Wassermann_DieGeschichtederjungenRenateFuchs_gutenberg.txt,1890.0,Die Geschichte der jungen Renate Fuchs,Jakob Wassermann,http://d-nb.info/gnd/118629387,Jakob,Wassermann,1873,1934,männlich,Wassermann_DieGeschichtederjungenRenateFuchs_gutenberg.txt,1901.0,Roman,108761,Deutschland; Österreich,https://www.projekt-gutenberg.org/wasserma/renate/renate.html,1860-1879,vienna,sunset
89,Wassermann_JosephKerkhovensdritteExistenz_gutenberg.txt,1890.0,Joseph Kerkhovens dritte Existenz,Jakob Wassermann,http://d-nb.info/gnd/118629387,Jakob,Wassermann,1873,1934,männlich,Wassermann_JosephKerkhovensdritteExistenz_gutenberg.txt,1934.0,Roman,193338,Deutschland; Österreich,https://www.projekt-gutenberg.org/wasserma/kerkhove/kerkhove.html,1860-1879,vienna,sunset
90,Wassermann_Ulrike_gutenberg.txt,1890.0,Ulrike,Jakob Wassermann,http://d-nb.info/gnd/118629387,Jakob,Wassermann,1873,1934,männlich,Wassermann_Ulrike_gutenberg.txt,1923.0,Roman,148128,Deutschland; Österreich,https://www.projekt-gutenberg.org/wasserma/ulrike/ulrike.html,1860-1879,vienna,sunset
91,Temme_EintragischesEnde.txt,1810.0,Ein tragisches Ende,Jodocus Temme,http://d-nb.info/gnd/118801597,Jodocus Donatus Hubertus,Temme,1798,1881,männlich,Temme_EintragischesEnde.txt,1860.0,Novelle,62029,Deutschland; Schweiz,https://www.projekt-gutenberg.org/temme/tragende/tragende.html,1780-1799,berlin,sunset
92,Heinse_HildegardvonHohenthal_zeno.txt,1810.0,Hildegard von Hohenthal,Johann Jakob Wilhelm Heinse,http://d-nb.info/gnd/118548565,Wilhelm,Heinse,1746,1803,männlich,Heinse_HildegardvonHohenthal_zeno.txt,1795.0,Roman,132330,Deutschland,"http://www.zeno.org/Literatur/M/Heinse,+Wilhelm/Roman/Hildegard+von+Hohenthal",1740-1759,vienna,sunset
93,Megede_UnterZigeunern.txt,1890.0,Unter Zigeunern,Johannes Richard zu Megede,http://d-nb.info/gnd/137755945,Johannes Richard zur Megede,No surename,1864,1906,männlich,Megede_UnterZigeunern.txt,1897.0,Roman,71828,Deutschland,https://www.projekt-gutenberg.org/megede/zigeuner/zigeuner.html,1860-1879,berlin,sunset
94,Megede_VonzarterHand.txt,1890.0,Von zarter Hand,Johannes Richard zu Megede,http://d-nb.info/gnd/137755945,Johannes Richard zur Megede,No surename,1864,1906,männlich,Megede_VonzarterHand.txt,1899.0,Roman,188893,Deutschland,https://www.projekt-gutenberg.org/megede/zarthand/zarthand.html,1860-1879,berlin,sunset
95,Rank_AusdemBöhmerwalde.txt,1840.0,Aus dem Böhmerwalde,Josef Rank,https://d-nb.info/gnd/118965885,Josef,Rank,1818,1898,männlich,Rank_AusdemBöhmerwalde.txt,1843.0,Erzählung,67751,Tschechische Republik; Österreich,https://www.projekt-gutenberg.org/rankjo/boehmerw/boehmerw.html,1800-1819,vienna,sunset
96,Rank_ErinnerungenausmeinemLeben.txt,1890.0,Erinnerungen aus meinem Leben,Josef Rank,https://d-nb.info/gnd/118965894,Josef,Rank,1827,1907,männlich,Rank_ErinnerungenausmeinemLeben.txt,1896.0,Erzählung,114891,Tschechische Republik; Österreich,https://www.projekt-gutenberg.org/rankjo/erinneru/erinneru.html,1820-1839,vienna,sunset
97,Rank_WeißdornblütenausdemBöhmerwälderundWienerVolksleben.txt,1840.0,Weißdornblüten aus dem Böhmerwälder und Wiener Volksleben,Josef Rank,https://d-nb.info/gnd/118965901,Josef,Rank,1834,1914,männlich,Rank_WeißdornblütenausdemBöhmerwälderundWienerVolksleben.txt,1848.0,Erzählung,60350,Tschechische Republik; Österreich,https://www.projekt-gutenberg.org/rankjo/weissdor/weissdor.html,1820-1839,vienna,sunset
98,Levy_DieGrandidiers_gutenberg.txt,1850.0,Die Grandidiers,Julius Rodenberg,http://d-nb.info/gnd/118601709,Julius,Rodenberg,1831,1914,männlich,Levy_DieGrandidiers_gutenberg.txt,1879.0,Roman,149879,Deutschland,https://www.projekt-gutenberg.org/rodenber/grandidi/grandidi.html,1820-1839,berlin,sunset
99,Voß_DieModendergutenaltenZeit.txt,1820.0,Die Moden der guten alten Zeit,Julius von Voß,http://d-nb.info/gnd/118627929,Julius von,Voß,1768,1832,männlich,Voß_DieModendergutenaltenZeit.txt,1827.0,Roman,46208,Deutschland,https://www.projekt-gutenberg.org/vossjul/modezeit/modezeit.html,1760-1779,berlin,sunset
100,varnhagen_denkwuerdigkeiten02_1837.txt,1830.0,Denkwürdigkeiten und vermischte Schriften,Karl August Varnhagen von Ense,http://d-nb.info/gnd/118626167,Karl August,Varnhagen von Ense,1785,1858,männlich,varnhagen_denkwuerdigkeiten02_1837.txt,1837.0,Prosa,100341,Deutschland; Russland; Österreich,https://www.deutschestextarchiv.de/book/show/varnhagen_denkwuerdigkeiten02_1837,1780-1799,berlin,sunset
101,Franzos_DerPojaz_gutenberg.txt,1860.0,Der Pojaz,Karl Emil Franzos,http://d-nb.info/gnd/118702599,Karl Emil,Franzos,1848,1904,männlich,Franzos_DerPojaz_gutenberg.txt,1905.0,Roman,140178,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/franzos/pojaz/pojaz.html,1840-1859,vienna,sunset
102,Franzos_EinKampfumsRecht_gutenberg.txt,1860.0,Ein Kampf ums Recht,Karl Emil Franzos,http://d-nb.info/gnd/118702599,Karl Emil,Franzos,1848,1904,männlich,Franzos_EinKampfumsRecht_gutenberg.txt,1882.0,Roman,140817,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/franzos/kampfrec/kampfrec.html,1840-1859,vienna,sunset
